25: Ground truth-dog, Test result A-deer, Test result B-deer
367: Ground truth-automobile, Test result A-airplane, Test result B-truck
368: Ground truth-cat, Test result A-deer, Test result B-airplane
369: Ground truth-ship, Test result A-deer, Test result B-airplane
377: Ground truth-airplane, Test result A-deer, Test result B-truck
379: Ground truth-airplane, Test result A-ship, Test result B-ship
386: Ground truth-ship, Test result A-airplane, Test result B-airplane
389: Ground truth-bird, Test result A-dog, Test result B-dog
400: Ground truth-cat, Test result A-truck, Test result B-truck
402: Ground truth-ship, Test result A-automobile, Test result B-automobile
412: Ground truth-truck, Test result A-airplane, Test result B-ship
417: Ground truth-airplane, Test result A-cat, Test result B-cat
419: Ground truth-cat, Test result A-dog, Test result B-dog
422: Ground truth-dog, Test result A-horse, Test result B-deer
423: Ground truth-airplane, Test result A-ship, Test result B-ship
429: Ground truth-airplane, Test result A-frog, Test result B-frog
431: Ground truth-bird, Test result A-cat, Test result B-deer
435: Ground truth-cat, Test result A-horse, Test result B-truck
442: Ground truth-deer, Test result A-bird, Test result B-bird
451: Ground truth-bird, Test result A-frog, Test result B-frog
457: Ground truth-cat, Test result A-deer, Test result B-deer
458: Ground truth-dog, Test result A-deer, Test result B-horse
460: Ground truth-frog, Test result A-truck, Test result B-truck
461: Ground truth-dog, Test result A-bird, Test result B-bird
475: Ground truth-dog, Test result A-cat, Test result B-cat
478: Ground truth-airplane, Test result A-truck, Test result B-truck
489: Ground truth-dog, Test result A-deer, Test result B-deer
519: Ground truth-dog, Test result A-horse, Test result B-horse
539: Ground truth-truck, Test result A-ship, Test result B-ship
542: Ground truth-horse, Test result A-deer, Test result B-dog
550: Ground truth-dog, Test result A-cat, Test result B-cat
564: Ground truth-bird, Test result A-cat, Test result B-cat
568: Ground truth-horse, Test result A-dog, Test result B-cat
571: Ground truth-frog, Test result A-bird, Test result B-bird
578: Ground truth-truck, Test result A-ship, Test result B-airplane
584: Ground truth-deer, Test result A-truck, Test result B-bird
598: Ground truth-cat, Test result A-bird, Test result B-bird
631: Ground truth-bird, Test result A-ship, Test result B-ship
648: Ground truth-deer, Test result A-horse, Test result B-cat
653: Ground truth-dog, Test result A-cat, Test result B-cat
666: Ground truth-ship, Test result A-airplane, Test result B-airplane
670: Ground truth-cat, Test result A-dog, Test result B-dog
673: Ground truth-frog, Test result A-deer, Test result B-deer
677: Ground truth-cat, Test result A-deer, Test result B-deer
678: Ground truth-automobile, Test result A-truck, Test result B-truck
679: Ground truth-airplane, Test result A-cat, Test result B-dog
683: Ground truth-deer, Test result A-airplane, Test result B-ship
684: Ground truth-ship, Test result A-automobile, Test result B-airplane
686: Ground truth-frog, Test result A-deer, Test result B-bird
689: Ground truth-cat, Test result A-frog, Test result B-frog
690: Ground truth-airplane, Test result A-deer, Test result B-truck
707: Ground truth-bird, Test result A-airplane, Test result B-airplane
708: Ground truth-truck, Test result A-cat, Test result B-cat
712: Ground truth-ship, Test result A-airplane, Test result B-airplane
719: Ground truth-deer, Test result A-bird, Test result B-horse
726: Ground truth-bird, Test result A-deer, Test result B-ship
728: Ground truth-cat, Test result A-bird, Test result B-bird
731: Ground truth-deer, Test result A-dog, Test result B-dog
732: Ground truth-bird, Test result A-airplane, Test result B-airplane
735: Ground truth-truck, Test result A-ship, Test result B-automobile
736: Ground truth-deer, Test result A-frog, Test result B-bird
740: Ground truth-cat, Test result A-dog, Test result B-dog
741: Ground truth-bird, Test result A-horse, Test result B-dog
745: Ground truth-truck, Test result A-automobile, Test result B-frog
747: Ground truth-frog, Test result A-dog, Test result B-deer
750: Ground truth-dog, Test result A-cat, Test result B-cat
752: Ground truth-bird, Test result A-airplane, Test result B-airplane
762: Ground truth-frog, Test result A-dog, Test result B-bird
767: Ground truth-horse, Test result A-deer, Test result B-deer
768: Ground truth-airplane, Test result A-truck, Test result B-dog
771: Ground truth-frog, Test result A-dog, Test result B-dog
772: Ground truth-automobile, Test result A-truck, Test result B-truck
780: Ground truth-dog, Test result A-frog, Test result B-frog
789: Ground truth-frog, Test result A-truck, Test result B-bird
791: Ground truth-cat, Test result A-airplane, Test result B-airplane
793: Ground truth-cat, Test result A-airplane, Test result B-dog
794: Ground truth-deer, Test result A-dog, Test result B-cat
795: Ground truth-horse, Test result A-bird, Test result B-deer
796: Ground truth-horse, Test result A-dog, Test result B-dog
797: Ground truth-automobile, Test result A-bird, Test result B-deer
803: Ground truth-deer, Test result A-bird, Test result B-bird
812: Ground truth-cat, Test result A-bird, Test result B-dog
818: Ground truth-dog, Test result A-cat, Test result B-cat
826: Ground truth-cat, Test result A-airplane, Test result B-dog
831: Ground truth-automobile, Test result A-airplane, Test result B-airplane
835: Ground truth-dog, Test result A-deer, Test result B-bird
846: Ground truth-cat, Test result A-airplane, Test result B-airplane
849: Ground truth-bird, Test result A-frog, Test result B-frog
851: Ground truth-horse, Test result A-cat, Test result B-dog
854: Ground truth-truck, Test result A-automobile, Test result B-automobile
863: Ground truth-cat, Test result A-frog, Test result B-frog
874: Ground truth-bird, Test result A-airplane, Test result B-airplane
883: Ground truth-cat, Test result A-airplane, Test result B-airplane
887: Ground truth-airplane, Test result A-truck, Test result B-truck
889: Ground truth-airplane, Test result A-automobile, Test result B-ship
893: Ground truth-horse, Test result A-dog, Test result B-dog
894: Ground truth-frog, Test result A-cat, Test result B-cat
904: Ground truth-dog, Test result A-cat, Test result B-cat
905: Ground truth-ship, Test result A-airplane, Test result B-airplane
913: Ground truth-airplane, Test result A-deer, Test result B-bird
917: Ground truth-cat, Test result A-truck, Test result B-truck
925: Ground truth-dog, Test result A-airplane, Test result B-airplane
926: Ground truth-dog, Test result A-cat, Test result B-cat
934: Ground truth-bird, Test result A-cat, Test result B-cat
939: Ground truth-truck, Test result A-automobile, Test result B-automobile
942: Ground truth-automobile, Test result A-horse, Test result B-truck
954: Ground truth-automobile, Test result A-airplane, Test result B-airplane
957: Ground truth-airplane, Test result A-ship, Test result B-ship
966: Ground truth-frog, Test result A-cat, Test result B-cat
967: Ground truth-frog, Test result A-cat, Test result B-cat
975: Ground truth-horse, Test result A-bird, Test result B-airplane
981: Ground truth-bird, Test result A-frog, Test result B-frog
983: Ground truth-airplane, Test result A-bird, Test result B-bird
994: Ground truth-deer, Test result A-horse, Test result B-horse
996: Ground truth-cat, Test result A-dog, Test result B-dog
1025: Ground truth-cat, Test result A-dog, Test result B-dog
1033: Ground truth-frog, Test result A-bird, Test result B-bird
1035: Ground truth-frog, Test result A-dog, Test result B-cat
1040: Ground truth-bird, Test result A-deer, Test result B-deer
1041: Ground truth-horse, Test result A-dog, Test result B-cat
1044: Ground truth-bird, Test result A-airplane, Test result B-airplane
1050: Ground truth-deer, Test result A-automobile, Test result B-automobile
1051: Ground truth-cat, Test result A-horse, Test result B-horse
1054: Ground truth-cat, Test result A-dog, Test result B-dog
1065: Ground truth-truck, Test result A-cat, Test result B-automobile
1066: Ground truth-cat, Test result A-bird, Test result B-airplane
1067: Ground truth-truck, Test result A-automobile, Test result B-automobile
1073: Ground truth-airplane, Test result A-ship, Test result B-ship
1091: Ground truth-airplane, Test result A-ship, Test result B-ship
1101: Ground truth-horse, Test result A-ship, Test result B-ship
1106: Ground truth-deer, Test result A-cat, Test result B-cat
1125: Ground truth-cat, Test result A-dog, Test result B-dog
1127: Ground truth-bird, Test result A-airplane, Test result B-airplane
1131: Ground truth-horse, Test result A-deer, Test result B-deer
1132: Ground truth-automobile, Test result A-truck, Test result B-truck
1139: Ground truth-dog, Test result A-truck, Test result B-truck
1147: Ground truth-bird, Test result A-deer, Test result B-deer
1151: Ground truth-bird, Test result A-horse, Test result B-deer
1164: Ground truth-cat, Test result A-horse, Test result B-horse
1168: Ground truth-deer, Test result A-cat, Test result B-cat
1178: Ground truth-truck, Test result A-automobile, Test result B-automobile
1179: Ground truth-frog, Test result A-bird, Test result B-bird
1190: Ground truth-airplane, Test result A-bird, Test result B-bird
1194: Ground truth-dog, Test result A-bird, Test result B-cat
1204: Ground truth-airplane, Test result A-ship, Test result B-ship
1208: Ground truth-deer, Test result A-ship, Test result B-ship
1209: Ground truth-cat, Test result A-truck, Test result B-truck
1219: Ground truth-ship, Test result A-airplane, Test result B-airplane
1220: Ground truth-cat, Test result A-dog, Test result B-dog
1224: Ground truth-ship, Test result A-airplane, Test result B-airplane
1225: Ground truth-horse, Test result A-deer, Test result B-deer
1226: Ground truth-frog, Test result A-deer, Test result B-deer
1229: Ground truth-dog, Test result A-cat, Test result B-airplane
1240: Ground truth-dog, Test result A-cat, Test result B-cat
1243: Ground truth-ship, Test result A-automobile, Test result B-automobile
1248: Ground truth-cat, Test result A-bird, Test result B-dog
1259: Ground truth-automobile, Test result A-frog, Test result B-frog
1262: Ground truth-truck, Test result A-ship, Test result B-automobile
1266: Ground truth-truck, Test result A-automobile, Test result B-automobile
1267: Ground truth-airplane, Test result A-ship, Test result B-ship
1269: Ground truth-cat, Test result A-airplane, Test result B-deer
1277: Ground truth-dog, Test result A-automobile, Test result B-automobile
1298: Ground truth-bird, Test result A-airplane, Test result B-airplane
1300: Ground truth-horse, Test result A-airplane, Test result B-airplane
1305: Ground truth-deer, Test result A-ship, Test result B-ship
1307: Ground truth-automobile, Test result A-deer, Test result B-deer
1309: Ground truth-dog, Test result A-deer, Test result B-deer
1319: Ground truth-dog, Test result A-cat, Test result B-cat
1326: Ground truth-bird, Test result A-deer, Test result B-deer
1334: Ground truth-horse, Test result A-deer, Test result B-airplane
1335: Ground truth-cat, Test result A-bird, Test result B-bird
1337: Ground truth-deer, Test result A-frog, Test result B-frog
1340: Ground truth-dog, Test result A-cat, Test result B-cat
1349: Ground truth-bird, Test result A-cat, Test result B-cat
1356: Ground truth-dog, Test result A-cat, Test result B-bird
1357: Ground truth-bird, Test result A-cat, Test result B-cat
1373: Ground truth-automobile, Test result A-truck, Test result B-truck
1383: Ground truth-bird, Test result A-airplane, Test result B-airplane
1390: Ground truth-dog, Test result A-deer, Test result B-deer
1392: Ground truth-horse, Test result A-dog, Test result B-dog
1395: Ground truth-frog, Test result A-dog, Test result B-dog
1400: Ground truth-bird, Test result A-airplane, Test result B-airplane
1401: Ground truth-dog, Test result A-cat, Test result B-cat
1404: Ground truth-frog, Test result A-bird, Test result B-deer
1417: Ground truth-cat, Test result A-dog, Test result B-dog
1426: Ground truth-deer, Test result A-cat, Test result B-cat
1441: Ground truth-airplane, Test result A-ship, Test result B-ship
1446: Ground truth-cat, Test result A-deer, Test result B-deer
1452: Ground truth-bird, Test result A-deer, Test result B-deer
1454: Ground truth-dog, Test result A-bird, Test result B-bird
1471: Ground truth-horse, Test result A-bird, Test result B-bird
1475: Ground truth-cat, Test result A-horse, Test result B-horse
1480: Ground truth-bird, Test result A-horse, Test result B-cat
1486: Ground truth-airplane, Test result A-bird, Test result B-bird
1493: Ground truth-truck, Test result A-ship, Test result B-ship
1496: Ground truth-bird, Test result A-airplane, Test result B-airplane
1499: Ground truth-dog, Test result A-cat, Test result B-cat
1502: Ground truth-bird, Test result A-frog, Test result B-frog
1507: Ground truth-dog, Test result A-horse, Test result B-horse
1508: Ground truth-bird, Test result A-airplane, Test result B-truck
1514: Ground truth-frog, Test result A-deer, Test result B-deer
1522: Ground truth-horse, Test result A-bird, Test result B-deer
1528: Ground truth-dog, Test result A-deer, Test result B-horse
1531: Ground truth-cat, Test result A-truck, Test result B-truck
1537: Ground truth-dog, Test result A-horse, Test result B-cat
1538: Ground truth-deer, Test result A-horse, Test result B-horse
1539: Ground truth-cat, Test result A-truck, Test result B-truck
1546: Ground truth-automobile, Test result A-truck, Test result B-truck
1550: Ground truth-automobile, Test result A-horse, Test result B-truck
1571: Ground truth-deer, Test result A-horse, Test result B-horse
1573: Ground truth-frog, Test result A-ship, Test result B-cat
1575: Ground truth-airplane, Test result A-truck, Test result B-truck
1577: Ground truth-horse, Test result A-cat, Test result B-cat
1578: Ground truth-dog, Test result A-cat, Test result B-deer
1581: Ground truth-frog, Test result A-dog, Test result B-dog
1582: Ground truth-bird, Test result A-dog, Test result B-dog
1588: Ground truth-bird, Test result A-airplane, Test result B-airplane
1606: Ground truth-cat, Test result A-horse, Test result B-horse
1608: Ground truth-cat, Test result A-truck, Test result B-truck
1633: Ground truth-ship, Test result A-airplane, Test result B-airplane
1634: Ground truth-automobile, Test result A-ship, Test result B-ship
1637: Ground truth-dog, Test result A-horse, Test result B-horse
1638: Ground truth-dog, Test result A-cat, Test result B-frog
1641: Ground truth-horse, Test result A-deer, Test result B-dog
1643: Ground truth-dog, Test result A-frog, Test result B-deer
1645: Ground truth-bird, Test result A-frog, Test result B-frog
1650: Ground truth-dog, Test result A-bird, Test result B-bird
1663: Ground truth-cat, Test result A-truck, Test result B-dog
1669: Ground truth-truck, Test result A-automobile, Test result B-automobile
1676: Ground truth-dog, Test result A-horse, Test result B-bird
1682: Ground truth-dog, Test result A-frog, Test result B-horse
1685: Ground truth-automobile, Test result A-ship, Test result B-ship
1686: Ground truth-ship, Test result A-horse, Test result B-truck
1688: Ground truth-ship, Test result A-airplane, Test result B-airplane
1691: Ground truth-bird, Test result A-deer, Test result B-deer
1709: Ground truth-horse, Test result A-automobile, Test result B-cat
1714: Ground truth-ship, Test result A-automobile, Test result B-truck
1716: Ground truth-cat, Test result A-dog, Test result B-dog
1719: Ground truth-airplane, Test result A-ship, Test result B-ship
1722: Ground truth-ship, Test result A-airplane, Test result B-truck
1724: Ground truth-bird, Test result A-cat, Test result B-cat
1732: Ground truth-dog, Test result A-cat, Test result B-cat
1742: Ground truth-deer, Test result A-cat, Test result B-dog
1747: Ground truth-bird, Test result A-deer, Test result B-deer
1757: Ground truth-bird, Test result A-horse, Test result B-cat
1760: Ground truth-dog, Test result A-cat, Test result B-cat
1773: Ground truth-ship, Test result A-truck, Test result B-bird
1780: Ground truth-cat, Test result A-dog, Test result B-dog
1789: Ground truth-cat, Test result A-frog, Test result B-frog
1791: Ground truth-horse, Test result A-dog, Test result B-deer
1794: Ground truth-dog, Test result A-horse, Test result B-horse
1804: Ground truth-bird, Test result A-cat, Test result B-dog
1805: Ground truth-dog, Test result A-deer, Test result B-deer
1813: Ground truth-dog, Test result A-horse, Test result B-horse
1818: Ground truth-frog, Test result A-bird, Test result B-bird
1823: Ground truth-horse, Test result A-cat, Test result B-bird
1824: Ground truth-airplane, Test result A-cat, Test result B-deer
1830: Ground truth-automobile, Test result A-bird, Test result B-ship
1831: Ground truth-cat, Test result A-bird, Test result B-bird
1841: Ground truth-ship, Test result A-truck, Test result B-truck
1842: Ground truth-truck, Test result A-automobile, Test result B-automobile
1851: Ground truth-automobile, Test result A-cat, Test result B-cat
1863: Ground truth-dog, Test result A-cat, Test result B-cat
1864: Ground truth-dog, Test result A-truck, Test result B-automobile
1868: Ground truth-frog, Test result A-deer, Test result B-deer
1869: Ground truth-bird, Test result A-horse, Test result B-horse
1884: Ground truth-cat, Test result A-frog, Test result B-frog
1885: Ground truth-horse, Test result A-dog, Test result B-frog
1887: Ground truth-ship, Test result A-cat, Test result B-cat
1899: Ground truth-airplane, Test result A-cat, Test result B-bird
1906: Ground truth-cat, Test result A-frog, Test result B-bird
1912: Ground truth-deer, Test result A-frog, Test result B-frog
1925: Ground truth-truck, Test result A-frog, Test result B-frog
1930: Ground truth-bird, Test result A-deer, Test result B-deer
1934: Ground truth-cat, Test result A-dog, Test result B-dog
1935: Ground truth-horse, Test result A-bird, Test result B-airplane
1936: Ground truth-frog, Test result A-deer, Test result B-deer
1938: Ground truth-automobile, Test result A-horse, Test result B-truck
1940: Ground truth-frog, Test result A-horse, Test result B-cat
1941: Ground truth-dog, Test result A-cat, Test result B-bird
1942: Ground truth-horse, Test result A-bird, Test result B-bird
1946: Ground truth-deer, Test result A-horse, Test result B-horse
1955: Ground truth-bird, Test result A-airplane, Test result B-deer
1958: Ground truth-cat, Test result A-bird, Test result B-frog
1970: Ground truth-automobile, Test result A-truck, Test result B-truck
1984: Ground truth-ship, Test result A-bird, Test result B-bird
1991: Ground truth-deer, Test result A-horse, Test result B-horse
1995: Ground truth-ship, Test result A-automobile, Test result B-truck
1997: Ground truth-cat, Test result A-dog, Test result B-dog
1999: Ground truth-ship, Test result A-bird, Test result B-bird
2003: Ground truth-deer, Test result A-bird, Test result B-bird
2011: Ground truth-horse, Test result A-automobile, Test result B-cat
2014: Ground truth-frog, Test result A-airplane, Test result B-truck
2018: Ground truth-dog, Test result A-cat, Test result B-cat
2019: Ground truth-cat, Test result A-bird, Test result B-bird
2024: Ground truth-dog, Test result A-cat, Test result B-cat
2027: Ground truth-dog, Test result A-cat, Test result B-cat
2030: Ground truth-cat, Test result A-dog, Test result B-dog
2033: Ground truth-deer, Test result A-bird, Test result B-bird
2035: Ground truth-cat, Test result A-deer, Test result B-deer
2037: Ground truth-dog, Test result A-cat, Test result B-cat
2038: Ground truth-dog, Test result A-cat, Test result B-cat
2040: Ground truth-ship, Test result A-automobile, Test result B-automobile
2047: Ground truth-cat, Test result A-dog, Test result B-dog
2050: Ground truth-cat, Test result A-deer, Test result B-deer
2055: Ground truth-cat, Test result A-dog, Test result B-dog
2059: Ground truth-airplane, Test result A-ship, Test result B-ship
2060: Ground truth-truck, Test result A-ship, Test result B-ship
2061: Ground truth-dog, Test result A-cat, Test result B-cat
2062: Ground truth-dog, Test result A-deer, Test result B-deer
2066: Ground truth-bird, Test result A-deer, Test result B-frog
2067: Ground truth-bird, Test result A-deer, Test result B-deer
2068: Ground truth-horse, Test result A-deer, Test result B-deer
2079: Ground truth-bird, Test result A-frog, Test result B-horse
2082: Ground truth-cat, Test result A-frog, Test result B-frog
2084: Ground truth-bird, Test result A-dog, Test result B-dog
2096: Ground truth-airplane, Test result A-deer, Test result B-deer
2097: Ground truth-bird, Test result A-deer, Test result B-horse
2107: Ground truth-dog, Test result A-cat, Test result B-cat
2109: Ground truth-deer, Test result A-dog, Test result B-dog
2112: Ground truth-truck, Test result A-automobile, Test result B-automobile
2126: Ground truth-automobile, Test result A-airplane, Test result B-airplane
2128: Ground truth-bird, Test result A-horse, Test result B-deer
2129: Ground truth-deer, Test result A-frog, Test result B-frog
2130: Ground truth-truck, Test result A-airplane, Test result B-airplane
2137: Ground truth-airplane, Test result A-truck, Test result B-truck
2152: Ground truth-dog, Test result A-ship, Test result B-ship
2156: Ground truth-truck, Test result A-ship, Test result B-ship
2160: Ground truth-ship, Test result A-truck, Test result B-truck
2163: Ground truth-dog, Test result A-ship, Test result B-ship
2166: Ground truth-bird, Test result A-airplane, Test result B-airplane
2172: Ground truth-bird, Test result A-cat, Test result B-cat
2173: Ground truth-dog, Test result A-deer, Test result B-airplane
2176: Ground truth-cat, Test result A-dog, Test result B-dog
2187: Ground truth-truck, Test result A-automobile, Test result B-ship
2188: Ground truth-dog, Test result A-cat, Test result B-cat
2191: Ground truth-truck, Test result A-automobile, Test result B-automobile
2193: Ground truth-airplane, Test result A-deer, Test result B-frog
2194: Ground truth-bird, Test result A-airplane, Test result B-airplane
2201: Ground truth-airplane, Test result A-bird, Test result B-bird
2214: Ground truth-deer, Test result A-frog, Test result B-frog
2227: Ground truth-bird, Test result A-frog, Test result B-frog
2233: Ground truth-airplane, Test result A-cat, Test result B-cat
2234: Ground truth-cat, Test result A-deer, Test result B-dog
2247: Ground truth-truck, Test result A-frog, Test result B-automobile
2252: Ground truth-frog, Test result A-dog, Test result B-dog
2254: Ground truth-cat, Test result A-dog, Test result B-dog
2256: Ground truth-automobile, Test result A-ship, Test result B-ship
2263: Ground truth-bird, Test result A-deer, Test result B-deer
2268: Ground truth-frog, Test result A-cat, Test result B-cat
2271: Ground truth-bird, Test result A-horse, Test result B-deer
2274: Ground truth-dog, Test result A-cat, Test result B-bird
2286: Ground truth-cat, Test result A-frog, Test result B-dog
2289: Ground truth-dog, Test result A-deer, Test result B-bird
2294: Ground truth-ship, Test result A-bird, Test result B-automobile
2300: Ground truth-frog, Test result A-cat, Test result B-cat
2311: Ground truth-frog, Test result A-horse, Test result B-horse
2314: Ground truth-frog, Test result A-bird, Test result B-bird
2321: Ground truth-dog, Test result A-bird, Test result B-horse
2322: Ground truth-bird, Test result A-horse, Test result B-cat
2326: Ground truth-horse, Test result A-deer, Test result B-dog
2332: Ground truth-bird, Test result A-deer, Test result B-horse
2352: Ground truth-automobile, Test result A-truck, Test result B-truck
2353: Ground truth-bird, Test result A-cat, Test result B-cat
2359: Ground truth-horse, Test result A-dog, Test result B-dog
2362: Ground truth-bird, Test result A-airplane, Test result B-airplane
2363: Ground truth-cat, Test result A-bird, Test result B-bird
2364: Ground truth-bird, Test result A-frog, Test result B-frog
2373: Ground truth-dog, Test result A-horse, Test result B-horse
2377: Ground truth-horse, Test result A-deer, Test result B-automobile
2380: Ground truth-airplane, Test result A-ship, Test result B-ship
2384: Ground truth-bird, Test result A-deer, Test result B-deer
2391: Ground truth-automobile, Test result A-horse, Test result B-horse
2398: Ground truth-dog, Test result A-bird, Test result B-bird
2406: Ground truth-cat, Test result A-frog, Test result B-frog
2415: Ground truth-dog, Test result A-deer, Test result B-deer
2421: Ground truth-ship, Test result A-automobile, Test result B-frog
2423: Ground truth-cat, Test result A-dog, Test result B-horse
2424: Ground truth-bird, Test result A-frog, Test result B-frog
2428: Ground truth-dog, Test result A-cat, Test result B-cat
2435: Ground truth-airplane, Test result A-ship, Test result B-truck
2443: Ground truth-deer, Test result A-cat, Test result B-frog
2450: Ground truth-deer, Test result A-dog, Test result B-dog
2454: Ground truth-cat, Test result A-deer, Test result B-deer
2474: Ground truth-airplane, Test result A-ship, Test result B-ship
2482: Ground truth-horse, Test result A-dog, Test result B-deer
2483: Ground truth-truck, Test result A-automobile, Test result B-automobile
2487: Ground truth-horse, Test result A-deer, Test result B-bird
2496: Ground truth-truck, Test result A-ship, Test result B-ship
2498: Ground truth-truck, Test result A-ship, Test result B-airplane
2499: Ground truth-cat, Test result A-dog, Test result B-frog
2501: Ground truth-deer, Test result A-frog, Test result B-frog
2507: Ground truth-cat, Test result A-airplane, Test result B-airplane
2510: Ground truth-bird, Test result A-frog, Test result B-frog
2512: Ground truth-ship, Test result A-automobile, Test result B-truck
2515: Ground truth-truck, Test result A-cat, Test result B-cat
2516: Ground truth-bird, Test result A-cat, Test result B-cat
2522: Ground truth-truck, Test result A-dog, Test result B-dog
2526: Ground truth-dog, Test result A-cat, Test result B-automobile
2527: Ground truth-cat, Test result A-bird, Test result B-bird
2533: Ground truth-airplane, Test result A-automobile, Test result B-automobile
2534: Ground truth-ship, Test result A-cat, Test result B-cat
2536: Ground truth-airplane, Test result A-frog, Test result B-frog
2543: Ground truth-bird, Test result A-ship, Test result B-ship
2544: Ground truth-cat, Test result A-dog, Test result B-deer
2563: Ground truth-deer, Test result A-cat, Test result B-cat
2564: Ground truth-bird, Test result A-airplane, Test result B-airplane
2568: Ground truth-deer, Test result A-cat, Test result B-cat
2569: Ground truth-truck, Test result A-deer, Test result B-deer
2571: Ground truth-airplane, Test result A-bird, Test result B-bird
2576: Ground truth-dog, Test result A-deer, Test result B-deer
2586: Ground truth-cat, Test result A-dog, Test result B-dog
2587: Ground truth-horse, Test result A-bird, Test result B-bird
2588: Ground truth-airplane, Test result A-truck, Test result B-truck
2591: Ground truth-dog, Test result A-truck, Test result B-cat
2593: Ground truth-bird, Test result A-dog, Test result B-deer
2597: Ground truth-truck, Test result A-airplane, Test result B-airplane
2598: Ground truth-bird, Test result A-dog, Test result B-horse
2607: Ground truth-cat, Test result A-dog, Test result B-dog
2610: Ground truth-dog, Test result A-cat, Test result B-cat
2613: Ground truth-cat, Test result A-horse, Test result B-horse
2630: Ground truth-bird, Test result A-frog, Test result B-frog
2635: Ground truth-automobile, Test result A-dog, Test result B-truck
2636: Ground truth-frog, Test result A-deer, Test result B-deer
2651: Ground truth-dog, Test result A-cat, Test result B-cat
2652: Ground truth-dog, Test result A-ship, Test result B-ship
2674: Ground truth-bird, Test result A-cat, Test result B-deer
2676: Ground truth-bird, Test result A-deer, Test result B-deer
2682: Ground truth-airplane, Test result A-bird, Test result B-bird
2683: Ground truth-horse, Test result A-deer, Test result B-deer
2689: Ground truth-dog, Test result A-cat, Test result B-cat
2691: Ground truth-bird, Test result A-automobile, Test result B-automobile
2702: Ground truth-automobile, Test result A-ship, Test result B-ship
2704: Ground truth-truck, Test result A-airplane, Test result B-airplane
2705: Ground truth-airplane, Test result A-automobile, Test result B-truck
2706: Ground truth-ship, Test result A-airplane, Test result B-airplane
2707: Ground truth-cat, Test result A-dog, Test result B-dog
2720: Ground truth-deer, Test result A-cat, Test result B-dog
2723: Ground truth-dog, Test result A-deer, Test result B-deer
