38: Ground truth-automobile, Test result B-truck
1375: Ground truth-bird, Test result B-airplane
1394: Ground truth-deer, Test result B-cat
1419: Ground truth-frog, Test result B-bird
1421: Ground truth-deer, Test result B-horse
1430: Ground truth-frog, Test result B-cat
1434: Ground truth-horse, Test result B-deer
1442: Ground truth-deer, Test result B-frog
1443: Ground truth-cat, Test result B-frog
1455: Ground truth-cat, Test result B-dog
1466: Ground truth-truck, Test result B-automobile
1481: Ground truth-automobile, Test result B-cat
1492: Ground truth-deer, Test result B-cat
1527: Ground truth-deer, Test result B-dog
1534: Ground truth-deer, Test result B-horse
1553: Ground truth-cat, Test result B-dog
1554: Ground truth-deer, Test result B-frog
1555: Ground truth-deer, Test result B-frog
1584: Ground truth-automobile, Test result B-ship
1591: Ground truth-deer, Test result B-airplane
1595: Ground truth-cat, Test result B-dog
1601: Ground truth-ship, Test result B-truck
1621: Ground truth-dog, Test result B-cat
1701: Ground truth-dog, Test result B-cat
1737: Ground truth-dog, Test result B-frog
1766: Ground truth-deer, Test result B-dog
1767: Ground truth-frog, Test result B-cat
1769: Ground truth-bird, Test result B-airplane
1770: Ground truth-automobile, Test result B-airplane
1772: Ground truth-bird, Test result B-frog
1829: Ground truth-horse, Test result B-bird
1836: Ground truth-airplane, Test result B-cat
1853: Ground truth-bird, Test result B-horse
1939: Ground truth-ship, Test result B-airplane
1978: Ground truth-dog, Test result B-cat
1982: Ground truth-cat, Test result B-dog
2006: Ground truth-dog, Test result B-cat
2012: Ground truth-bird, Test result B-cat
2034: Ground truth-bird, Test result B-deer
2121: Ground truth-deer, Test result B-ship
2122: Ground truth-frog, Test result B-truck
2127: Ground truth-truck, Test result B-automobile
2135: Ground truth-deer, Test result B-cat
2142: Ground truth-horse, Test result B-dog
2145: Ground truth-cat, Test result B-dog
2146: Ground truth-horse, Test result B-deer
2151: Ground truth-truck, Test result B-automobile
2162: Ground truth-dog, Test result B-horse
2192: Ground truth-deer, Test result B-horse
2196: Ground truth-deer, Test result B-dog
2200: Ground truth-bird, Test result B-frog
2208: Ground truth-cat, Test result B-dog
2223: Ground truth-frog, Test result B-deer
2251: Ground truth-horse, Test result B-deer
2295: Ground truth-automobile, Test result B-truck
2301: Ground truth-cat, Test result B-deer
2310: Ground truth-frog, Test result B-cat
2323: Ground truth-airplane, Test result B-bird
2328: Ground truth-automobile, Test result B-airplane
2343: Ground truth-dog, Test result B-frog
2349: Ground truth-deer, Test result B-airplane
2378: Ground truth-frog, Test result B-deer
2405: Ground truth-airplane, Test result B-horse
2416: Ground truth-frog, Test result B-cat
2445: Ground truth-cat, Test result B-frog
2456: Ground truth-frog, Test result B-bird
2459: Ground truth-ship, Test result B-airplane
2469: Ground truth-airplane, Test result B-bird
2484: Ground truth-bird, Test result B-horse
2495: Ground truth-dog, Test result B-deer
2505: Ground truth-automobile, Test result B-ship
2509: Ground truth-frog, Test result B-deer
2530: Ground truth-cat, Test result B-dog
2539: Ground truth-dog, Test result B-deer
2582: Ground truth-deer, Test result B-frog
2612: Ground truth-deer, Test result B-cat
2620: Ground truth-horse, Test result B-cat
2677: Ground truth-deer, Test result B-frog
2679: Ground truth-airplane, Test result B-deer
2680: Ground truth-airplane, Test result B-frog
2686: Ground truth-bird, Test result B-cat
2737: Ground truth-ship, Test result B-automobile
2753: Ground truth-cat, Test result B-dog
2769: Ground truth-dog, Test result B-bird
2771: Ground truth-horse, Test result B-cat
2811: Ground truth-truck, Test result B-horse
2819: Ground truth-dog, Test result B-cat
2830: Ground truth-cat, Test result B-frog
2853: Ground truth-bird, Test result B-deer
2868: Ground truth-horse, Test result B-cat
2876: Ground truth-automobile, Test result B-truck
2906: Ground truth-deer, Test result B-horse
2924: Ground truth-cat, Test result B-horse
2955: Ground truth-truck, Test result B-automobile
3015: Ground truth-frog, Test result B-dog
3048: Ground truth-frog, Test result B-cat
3050: Ground truth-cat, Test result B-dog
3052: Ground truth-ship, Test result B-bird
3068: Ground truth-cat, Test result B-dog
3092: Ground truth-automobile, Test result B-bird
3098: Ground truth-airplane, Test result B-horse
3109: Ground truth-ship, Test result B-bird
3120: Ground truth-deer, Test result B-frog
3138: Ground truth-dog, Test result B-cat
3147: Ground truth-bird, Test result B-airplane
3155: Ground truth-truck, Test result B-airplane
3159: Ground truth-airplane, Test result B-ship
3160: Ground truth-bird, Test result B-dog
3174: Ground truth-truck, Test result B-automobile
3175: Ground truth-bird, Test result B-cat
3178: Ground truth-airplane, Test result B-bird
3194: Ground truth-bird, Test result B-deer
3195: Ground truth-cat, Test result B-dog
3202: Ground truth-frog, Test result B-cat
3203: Ground truth-dog, Test result B-cat
3213: Ground truth-frog, Test result B-bird
3243: Ground truth-deer, Test result B-horse
3252: Ground truth-dog, Test result B-cat
3275: Ground truth-automobile, Test result B-truck
3277: Ground truth-deer, Test result B-horse
3298: Ground truth-deer, Test result B-cat
3316: Ground truth-cat, Test result B-dog
3322: Ground truth-airplane, Test result B-bird
3335: Ground truth-dog, Test result B-bird
3347: Ground truth-deer, Test result B-ship
3355: Ground truth-cat, Test result B-airplane
3370: Ground truth-dog, Test result B-cat
3382: Ground truth-dog, Test result B-cat
3399: Ground truth-bird, Test result B-airplane
3445: Ground truth-airplane, Test result B-bird
3470: Ground truth-truck, Test result B-automobile
3482: Ground truth-horse, Test result B-dog
3495: Ground truth-airplane, Test result B-truck
3496: Ground truth-bird, Test result B-dog
3506: Ground truth-deer, Test result B-dog
3530: Ground truth-frog, Test result B-cat
3563: Ground truth-ship, Test result B-airplane
3573: Ground truth-cat, Test result B-frog
3577: Ground truth-deer, Test result B-horse
3582: Ground truth-deer, Test result B-frog
3606: Ground truth-frog, Test result B-deer
3612: Ground truth-automobile, Test result B-truck
3654: Ground truth-ship, Test result B-airplane
3666: Ground truth-horse, Test result B-deer
3688: Ground truth-truck, Test result B-automobile
3697: Ground truth-deer, Test result B-bird
3698: Ground truth-deer, Test result B-dog
3705: Ground truth-dog, Test result B-automobile
3712: Ground truth-frog, Test result B-deer
3725: Ground truth-frog, Test result B-bird
3726: Ground truth-bird, Test result B-airplane
3737: Ground truth-cat, Test result B-bird
3738: Ground truth-bird, Test result B-dog
3773: Ground truth-automobile, Test result B-ship
3786: Ground truth-frog, Test result B-bird
3802: Ground truth-bird, Test result B-airplane
3841: Ground truth-frog, Test result B-cat
3860: Ground truth-cat, Test result B-truck
3884: Ground truth-horse, Test result B-deer
3898: Ground truth-airplane, Test result B-ship
3903: Ground truth-truck, Test result B-automobile
3918: Ground truth-horse, Test result B-dog
3923: Ground truth-bird, Test result B-deer
3943: Ground truth-automobile, Test result B-truck
3971: Ground truth-truck, Test result B-deer
3982: Ground truth-dog, Test result B-cat
4002: Ground truth-bird, Test result B-cat
4012: Ground truth-horse, Test result B-ship
4033: Ground truth-cat, Test result B-dog
4043: Ground truth-deer, Test result B-airplane
4064: Ground truth-horse, Test result B-deer
4086: Ground truth-ship, Test result B-deer
4097: Ground truth-ship, Test result B-airplane
4099: Ground truth-truck, Test result B-airplane
4104: Ground truth-ship, Test result B-airplane
4108: Ground truth-cat, Test result B-bird
4115: Ground truth-deer, Test result B-frog
4135: Ground truth-automobile, Test result B-truck
4139: Ground truth-deer, Test result B-frog
4152: Ground truth-frog, Test result B-deer
4174: Ground truth-deer, Test result B-airplane
4194: Ground truth-truck, Test result B-airplane
4224: Ground truth-ship, Test result B-airplane
4228: Ground truth-deer, Test result B-cat
4248: Ground truth-dog, Test result B-horse
4251: Ground truth-automobile, Test result B-frog
4271: Ground truth-airplane, Test result B-cat
4286: Ground truth-automobile, Test result B-cat
4287: Ground truth-bird, Test result B-airplane
4299: Ground truth-truck, Test result B-automobile
4326: Ground truth-frog, Test result B-bird
4346: Ground truth-frog, Test result B-bird
4377: Ground truth-horse, Test result B-deer
4382: Ground truth-horse, Test result B-deer
4393: Ground truth-dog, Test result B-bird
4410: Ground truth-ship, Test result B-automobile
4417: Ground truth-deer, Test result B-frog
4433: Ground truth-horse, Test result B-dog
4448: Ground truth-airplane, Test result B-automobile
4449: Ground truth-deer, Test result B-frog
4454: Ground truth-airplane, Test result B-bird
4471: Ground truth-airplane, Test result B-truck
4487: Ground truth-ship, Test result B-automobile
4513: Ground truth-ship, Test result B-airplane
4528: Ground truth-cat, Test result B-dog
4557: Ground truth-bird, Test result B-ship
4560: Ground truth-cat, Test result B-frog
4562: Ground truth-cat, Test result B-dog
4583: Ground truth-ship, Test result B-automobile
4594: Ground truth-dog, Test result B-cat
4600: Ground truth-ship, Test result B-automobile
4629: Ground truth-dog, Test result B-horse
4693: Ground truth-ship, Test result B-airplane
4700: Ground truth-dog, Test result B-bird
4710: Ground truth-ship, Test result B-truck
4785: Ground truth-airplane, Test result B-ship
4819: Ground truth-cat, Test result B-truck
4831: Ground truth-cat, Test result B-frog
4833: Ground truth-deer, Test result B-bird
4853: Ground truth-truck, Test result B-airplane
4871: Ground truth-ship, Test result B-airplane
4880: Ground truth-frog, Test result B-deer
4884: Ground truth-bird, Test result B-dog
4888: Ground truth-dog, Test result B-cat
4895: Ground truth-frog, Test result B-bird
4918: Ground truth-dog, Test result B-bird
4927: Ground truth-horse, Test result B-truck
4933: Ground truth-truck, Test result B-automobile
4946: Ground truth-truck, Test result B-automobile
4947: Ground truth-deer, Test result B-frog
4963: Ground truth-cat, Test result B-dog
4964: Ground truth-cat, Test result B-bird
4975: Ground truth-horse, Test result B-dog
4986: Ground truth-deer, Test result B-bird
5003: Ground truth-ship, Test result B-airplane
5031: Ground truth-deer, Test result B-bird
5039: Ground truth-deer, Test result B-cat
5047: Ground truth-dog, Test result B-bird
5058: Ground truth-bird, Test result B-deer
5078: Ground truth-airplane, Test result B-bird
5091: Ground truth-automobile, Test result B-ship
5096: Ground truth-ship, Test result B-airplane
5114: Ground truth-frog, Test result B-deer
5124: Ground truth-horse, Test result B-bird
5129: Ground truth-cat, Test result B-deer
5131: Ground truth-dog, Test result B-bird
5142: Ground truth-frog, Test result B-cat
5178: Ground truth-deer, Test result B-cat
5179: Ground truth-dog, Test result B-cat
5195: Ground truth-horse, Test result B-cat
5198: Ground truth-ship, Test result B-deer
5201: Ground truth-cat, Test result B-dog
5207: Ground truth-cat, Test result B-deer
5208: Ground truth-ship, Test result B-truck
5211: Ground truth-dog, Test result B-cat
5212: Ground truth-horse, Test result B-cat
5213: Ground truth-dog, Test result B-cat
5223: Ground truth-dog, Test result B-cat
5228: Ground truth-deer, Test result B-frog
5233: Ground truth-cat, Test result B-dog
5241: Ground truth-automobile, Test result B-truck
5273: Ground truth-cat, Test result B-dog
5279: Ground truth-airplane, Test result B-automobile
5288: Ground truth-horse, Test result B-cat
5299: Ground truth-dog, Test result B-cat
5347: Ground truth-horse, Test result B-deer
5355: Ground truth-airplane, Test result B-deer
5359: Ground truth-automobile, Test result B-ship
5370: Ground truth-deer, Test result B-bird
5377: Ground truth-dog, Test result B-cat
5381: Ground truth-automobile, Test result B-truck
5448: Ground truth-dog, Test result B-cat
5457: Ground truth-automobile, Test result B-ship
5462: Ground truth-airplane, Test result B-cat
5465: Ground truth-horse, Test result B-deer
5482: Ground truth-horse, Test result B-dog
5494: Ground truth-cat, Test result B-airplane
5499: Ground truth-truck, Test result B-automobile
5505: Ground truth-dog, Test result B-frog
5513: Ground truth-truck, Test result B-bird
5518: Ground truth-automobile, Test result B-truck
5519: Ground truth-cat, Test result B-dog
5531: Ground truth-cat, Test result B-frog
5552: Ground truth-horse, Test result B-cat
5553: Ground truth-dog, Test result B-ship
5557: Ground truth-frog, Test result B-automobile
5563: Ground truth-deer, Test result B-horse
5572: Ground truth-airplane, Test result B-horse
5601: Ground truth-frog, Test result B-deer
5608: Ground truth-frog, Test result B-airplane
5681: Ground truth-bird, Test result B-airplane
5682: Ground truth-cat, Test result B-frog
5683: Ground truth-dog, Test result B-cat
5699: Ground truth-horse, Test result B-dog
5701: Ground truth-cat, Test result B-dog
5719: Ground truth-automobile, Test result B-ship
5720: Ground truth-bird, Test result B-dog
5752: Ground truth-deer, Test result B-bird
5755: Ground truth-cat, Test result B-dog
5820: Ground truth-bird, Test result B-airplane
5821: Ground truth-dog, Test result B-bird
5843: Ground truth-horse, Test result B-cat
5849: Ground truth-deer, Test result B-cat
5850: Ground truth-dog, Test result B-bird
5853: Ground truth-cat, Test result B-bird
5862: Ground truth-automobile, Test result B-truck
5873: Ground truth-horse, Test result B-deer
5883: Ground truth-automobile, Test result B-truck
5887: Ground truth-bird, Test result B-cat
5910: Ground truth-automobile, Test result B-truck
5920: Ground truth-deer, Test result B-bird
5927: Ground truth-deer, Test result B-airplane
5933: Ground truth-deer, Test result B-frog
5940: Ground truth-truck, Test result B-airplane
5941: Ground truth-horse, Test result B-bird
5958: Ground truth-deer, Test result B-cat
5970: Ground truth-dog, Test result B-bird
5993: Ground truth-deer, Test result B-horse
6001: Ground truth-ship, Test result B-airplane
6031: Ground truth-ship, Test result B-automobile
6032: Ground truth-dog, Test result B-horse
6052: Ground truth-deer, Test result B-dog
6077: Ground truth-horse, Test result B-deer
6082: Ground truth-airplane, Test result B-bird
6102: Ground truth-truck, Test result B-airplane
6119: Ground truth-airplane, Test result B-bird
6123: Ground truth-dog, Test result B-cat
6127: Ground truth-cat, Test result B-dog
6142: Ground truth-ship, Test result B-airplane
6144: Ground truth-truck, Test result B-automobile
6171: Ground truth-bird, Test result B-frog
6192: Ground truth-airplane, Test result B-bird
6226: Ground truth-cat, Test result B-frog
6252: Ground truth-automobile, Test result B-airplane
6259: Ground truth-airplane, Test result B-ship
6265: Ground truth-frog, Test result B-bird
6273: Ground truth-bird, Test result B-dog
6287: Ground truth-ship, Test result B-truck
6308: Ground truth-deer, Test result B-horse
6333: Ground truth-dog, Test result B-cat
6350: Ground truth-airplane, Test result B-bird
6372: Ground truth-automobile, Test result B-cat
6379: Ground truth-dog, Test result B-horse
6390: Ground truth-dog, Test result B-bird
6397: Ground truth-deer, Test result B-frog
6429: Ground truth-dog, Test result B-cat
6439: Ground truth-deer, Test result B-bird
6441: Ground truth-cat, Test result B-bird
6453: Ground truth-deer, Test result B-bird
6461: Ground truth-cat, Test result B-airplane
6468: Ground truth-cat, Test result B-frog
6470: Ground truth-truck, Test result B-automobile
6471: Ground truth-automobile, Test result B-ship
6475: Ground truth-ship, Test result B-airplane
6493: Ground truth-automobile, Test result B-truck
6514: Ground truth-dog, Test result B-horse
6518: Ground truth-horse, Test result B-cat
6520: Ground truth-bird, Test result B-frog
6536: Ground truth-dog, Test result B-horse
6543: Ground truth-truck, Test result B-horse
6560: Ground truth-bird, Test result B-deer
6568: Ground truth-deer, Test result B-bird
6581: Ground truth-automobile, Test result B-bird
6595: Ground truth-ship, Test result B-airplane
6665: Ground truth-deer, Test result B-horse
6681: Ground truth-cat, Test result B-dog
6698: Ground truth-bird, Test result B-frog
6699: Ground truth-cat, Test result B-dog
6707: Ground truth-frog, Test result B-cat
6711: Ground truth-cat, Test result B-dog
6727: Ground truth-cat, Test result B-deer
6778: Ground truth-bird, Test result B-deer
6791: Ground truth-horse, Test result B-cat
6796: Ground truth-truck, Test result B-automobile
6834: Ground truth-cat, Test result B-frog
6866: Ground truth-cat, Test result B-dog
6867: Ground truth-deer, Test result B-frog
6869: Ground truth-truck, Test result B-airplane
6889: Ground truth-deer, Test result B-bird
6910: Ground truth-deer, Test result B-bird
6937: Ground truth-truck, Test result B-cat
6949: Ground truth-frog, Test result B-dog
6954: Ground truth-airplane, Test result B-truck
6955: Ground truth-horse, Test result B-airplane
6960: Ground truth-dog, Test result B-horse
6963: Ground truth-horse, Test result B-dog
6969: Ground truth-ship, Test result B-airplane
6971: Ground truth-airplane, Test result B-bird
6989: Ground truth-deer, Test result B-bird
7020: Ground truth-bird, Test result B-deer
7062: Ground truth-deer, Test result B-horse
7083: Ground truth-bird, Test result B-ship
7092: Ground truth-frog, Test result B-bird
7118: Ground truth-frog, Test result B-cat
7128: Ground truth-dog, Test result B-ship
7134: Ground truth-automobile, Test result B-truck
7139: Ground truth-airplane, Test result B-ship
7148: Ground truth-dog, Test result B-horse
7151: Ground truth-cat, Test result B-dog
7153: Ground truth-frog, Test result B-cat
7171: Ground truth-truck, Test result B-horse
7173: Ground truth-deer, Test result B-frog
7185: Ground truth-dog, Test result B-frog
7213: Ground truth-cat, Test result B-bird
7236: Ground truth-bird, Test result B-frog
7249: Ground truth-deer, Test result B-cat
7254: Ground truth-deer, Test result B-bird
7258: Ground truth-airplane, Test result B-deer
7259: Ground truth-dog, Test result B-cat
7285: Ground truth-airplane, Test result B-truck
7286: Ground truth-automobile, Test result B-truck
7293: Ground truth-dog, Test result B-cat
7315: Ground truth-cat, Test result B-bird
7345: Ground truth-deer, Test result B-frog
7398: Ground truth-deer, Test result B-frog
7401: Ground truth-cat, Test result B-bird
7402: Ground truth-cat, Test result B-dog
7403: Ground truth-airplane, Test result B-ship
7405: Ground truth-ship, Test result B-airplane
7417: Ground truth-automobile, Test result B-truck
7420: Ground truth-airplane, Test result B-bird
7423: Ground truth-deer, Test result B-horse
7428: Ground truth-bird, Test result B-dog
7437: Ground truth-airplane, Test result B-ship
7445: Ground truth-truck, Test result B-automobile
7463: Ground truth-ship, Test result B-automobile
7477: Ground truth-dog, Test result B-cat
7532: Ground truth-deer, Test result B-dog
7538: Ground truth-deer, Test result B-bird
7542: Ground truth-airplane, Test result B-bird
7562: Ground truth-bird, Test result B-horse
7587: Ground truth-bird, Test result B-truck
7639: Ground truth-automobile, Test result B-ship
7649: Ground truth-airplane, Test result B-truck
7656: Ground truth-ship, Test result B-airplane
7674: Ground truth-dog, Test result B-frog
7690: Ground truth-airplane, Test result B-ship
7706: Ground truth-horse, Test result B-dog
7752: Ground truth-horse, Test result B-deer
7764: Ground truth-deer, Test result B-bird
7814: Ground truth-cat, Test result B-airplane
7848: Ground truth-horse, Test result B-deer
7856: Ground truth-bird, Test result B-dog
7878: Ground truth-airplane, Test result B-automobile
7897: Ground truth-deer, Test result B-bird
7898: Ground truth-bird, Test result B-airplane
7922: Ground truth-deer, Test result B-horse
7928: Ground truth-horse, Test result B-frog
7933: Ground truth-truck, Test result B-airplane
7934: Ground truth-cat, Test result B-deer
7953: Ground truth-cat, Test result B-bird
7962: Ground truth-cat, Test result B-deer
7999: Ground truth-bird, Test result B-cat
8020: Ground truth-cat, Test result B-frog
8023: Ground truth-bird, Test result B-dog
8028: Ground truth-deer, Test result B-horse
8032: Ground truth-airplane, Test result B-ship
8059: Ground truth-deer, Test result B-airplane
8078: Ground truth-cat, Test result B-dog
8079: Ground truth-horse, Test result B-cat
8093: Ground truth-deer, Test result B-airplane
8130: Ground truth-bird, Test result B-deer
8146: Ground truth-truck, Test result B-ship
8155: Ground truth-ship, Test result B-bird
8173: Ground truth-dog, Test result B-cat
8175: Ground truth-cat, Test result B-deer
8179: Ground truth-truck, Test result B-automobile
8200: Ground truth-deer, Test result B-truck
8233: Ground truth-bird, Test result B-dog
8284: Ground truth-automobile, Test result B-airplane
8299: Ground truth-cat, Test result B-dog
8309: Ground truth-bird, Test result B-horse
8311: Ground truth-cat, Test result B-dog
8325: Ground truth-cat, Test result B-horse
8341: Ground truth-dog, Test result B-cat
8343: Ground truth-automobile, Test result B-airplane
8347: Ground truth-frog, Test result B-cat
8363: Ground truth-cat, Test result B-horse
8364: Ground truth-bird, Test result B-dog
8377: Ground truth-horse, Test result B-cat
8382: Ground truth-deer, Test result B-cat
8386: Ground truth-truck, Test result B-automobile
8402: Ground truth-cat, Test result B-bird
8426: Ground truth-frog, Test result B-bird
8445: Ground truth-dog, Test result B-cat
8462: Ground truth-horse, Test result B-deer
8463: Ground truth-bird, Test result B-deer
8487: Ground truth-deer, Test result B-horse
8491: Ground truth-cat, Test result B-dog
8494: Ground truth-bird, Test result B-cat
8508: Ground truth-ship, Test result B-airplane
8534: Ground truth-frog, Test result B-bird
8536: Ground truth-horse, Test result B-dog
8549: Ground truth-cat, Test result B-frog
8554: Ground truth-horse, Test result B-cat
8564: Ground truth-airplane, Test result B-automobile
8581: Ground truth-cat, Test result B-dog
8600: Ground truth-deer, Test result B-dog
8621: Ground truth-cat, Test result B-dog
8640: Ground truth-horse, Test result B-deer
8642: Ground truth-horse, Test result B-deer
8647: Ground truth-bird, Test result B-horse
8651: Ground truth-bird, Test result B-dog
8652: Ground truth-deer, Test result B-bird
8658: Ground truth-frog, Test result B-cat
8673: Ground truth-horse, Test result B-cat
8679: Ground truth-automobile, Test result B-truck
8692: Ground truth-frog, Test result B-deer
8707: Ground truth-horse, Test result B-deer
8723: Ground truth-horse, Test result B-cat
8736: Ground truth-cat, Test result B-bird
8752: Ground truth-automobile, Test result B-cat
8753: Ground truth-dog, Test result B-horse
8757: Ground truth-bird, Test result B-frog
8759: Ground truth-truck, Test result B-horse
8776: Ground truth-automobile, Test result B-cat
8777: Ground truth-dog, Test result B-cat
8786: Ground truth-ship, Test result B-airplane
8812: Ground truth-automobile, Test result B-cat
8824: Ground truth-deer, Test result B-horse
8844: Ground truth-ship, Test result B-cat
8849: Ground truth-cat, Test result B-horse
8851: Ground truth-automobile, Test result B-ship
8862: Ground truth-deer, Test result B-cat
8866: Ground truth-horse, Test result B-deer
8893: Ground truth-ship, Test result B-airplane
8919: Ground truth-horse, Test result B-airplane
8922: Ground truth-ship, Test result B-airplane
8945: Ground truth-deer, Test result B-horse
8955: Ground truth-bird, Test result B-deer
9006: Ground truth-dog, Test result B-cat
9040: Ground truth-bird, Test result B-frog
9054: Ground truth-dog, Test result B-cat
9057: Ground truth-deer, Test result B-horse
9091: Ground truth-bird, Test result B-deer
9093: Ground truth-frog, Test result B-bird
9104: Ground truth-horse, Test result B-dog
9115: Ground truth-ship, Test result B-automobile
9121: Ground truth-cat, Test result B-dog
9132: Ground truth-cat, Test result B-dog
9134: Ground truth-truck, Test result B-airplane
9190: Ground truth-deer, Test result B-airplane
9219: Ground truth-cat, Test result B-bird
9224: Ground truth-automobile, Test result B-truck
9227: Ground truth-cat, Test result B-deer
9228: Ground truth-automobile, Test result B-truck
9230: Ground truth-automobile, Test result B-cat
9247: Ground truth-cat, Test result B-frog
9256: Ground truth-cat, Test result B-ship
9277: Ground truth-horse, Test result B-deer
9297: Ground truth-ship, Test result B-cat
9320: Ground truth-cat, Test result B-dog
9351: Ground truth-frog, Test result B-cat
9370: Ground truth-dog, Test result B-deer
9382: Ground truth-bird, Test result B-cat
9393: Ground truth-airplane, Test result B-frog
9429: Ground truth-horse, Test result B-bird
9430: Ground truth-deer, Test result B-dog
9436: Ground truth-bird, Test result B-horse
9438: Ground truth-cat, Test result B-deer
9449: Ground truth-cat, Test result B-airplane
9464: Ground truth-truck, Test result B-automobile
9465: Ground truth-deer, Test result B-horse
9487: Ground truth-deer, Test result B-bird
9510: Ground truth-deer, Test result B-horse
9552: Ground truth-dog, Test result B-airplane
9558: Ground truth-dog, Test result B-bird
9568: Ground truth-horse, Test result B-deer
9580: Ground truth-bird, Test result B-frog
9641: Ground truth-dog, Test result B-horse
9650: Ground truth-dog, Test result B-cat
9653: Ground truth-dog, Test result B-cat
9655: Ground truth-dog, Test result B-horse
9716: Ground truth-deer, Test result B-cat
9723: Ground truth-cat, Test result B-automobile
9731: Ground truth-frog, Test result B-cat
9750: Ground truth-airplane, Test result B-ship
9775: Ground truth-dog, Test result B-cat
9782: Ground truth-cat, Test result B-dog
9787: Ground truth-frog, Test result B-automobile
9805: Ground truth-dog, Test result B-cat
9821: Ground truth-airplane, Test result B-truck
9826: Ground truth-bird, Test result B-deer
9835: Ground truth-ship, Test result B-airplane
9860: Ground truth-frog, Test result B-bird
9874: Ground truth-bird, Test result B-truck
9889: Ground truth-airplane, Test result B-cat
9893: Ground truth-dog, Test result B-horse
9895: Ground truth-automobile, Test result B-ship
9912: Ground truth-deer, Test result B-horse
9922: Ground truth-airplane, Test result B-ship
9943: Ground truth-horse, Test result B-truck
9950: Ground truth-cat, Test result B-bird
9958: Ground truth-airplane, Test result B-automobile
9963: Ground truth-deer, Test result B-horse
9975: Ground truth-automobile, Test result B-truck
9997: Ground truth-cat, Test result B-dog
