7: Ground truth-automobile, Test result-airplane
653: Ground truth-dog, Test result-cat
656: Ground truth-bird, Test result-deer
666: Ground truth-ship, Test result-airplane
670: Ground truth-cat, Test result-dog
673: Ground truth-frog, Test result-deer
677: Ground truth-cat, Test result-deer
678: Ground truth-automobile, Test result-truck
679: Ground truth-airplane, Test result-cat
680: Ground truth-dog, Test result-cat
683: Ground truth-deer, Test result-airplane
684: Ground truth-ship, Test result-automobile
685: Ground truth-truck, Test result-horse
686: Ground truth-frog, Test result-deer
688: Ground truth-frog, Test result-cat
689: Ground truth-cat, Test result-frog
690: Ground truth-airplane, Test result-deer
707: Ground truth-bird, Test result-airplane
708: Ground truth-truck, Test result-cat
712: Ground truth-ship, Test result-airplane
719: Ground truth-deer, Test result-bird
721: Ground truth-deer, Test result-horse
726: Ground truth-bird, Test result-deer
728: Ground truth-cat, Test result-bird
731: Ground truth-deer, Test result-dog
732: Ground truth-bird, Test result-airplane
735: Ground truth-truck, Test result-ship
736: Ground truth-deer, Test result-frog
740: Ground truth-cat, Test result-dog
741: Ground truth-bird, Test result-horse
745: Ground truth-truck, Test result-automobile
747: Ground truth-frog, Test result-dog
750: Ground truth-dog, Test result-cat
752: Ground truth-bird, Test result-airplane
762: Ground truth-frog, Test result-dog
767: Ground truth-horse, Test result-deer
768: Ground truth-airplane, Test result-truck
770: Ground truth-deer, Test result-bird
771: Ground truth-frog, Test result-dog
772: Ground truth-automobile, Test result-truck
777: Ground truth-bird, Test result-horse
780: Ground truth-dog, Test result-frog
789: Ground truth-frog, Test result-truck
791: Ground truth-cat, Test result-airplane
793: Ground truth-cat, Test result-airplane
794: Ground truth-deer, Test result-dog
795: Ground truth-horse, Test result-bird
796: Ground truth-horse, Test result-dog
797: Ground truth-automobile, Test result-bird
803: Ground truth-deer, Test result-bird
807: Ground truth-ship, Test result-airplane
811: Ground truth-dog, Test result-cat
812: Ground truth-cat, Test result-bird
818: Ground truth-dog, Test result-cat
826: Ground truth-cat, Test result-airplane
829: Ground truth-dog, Test result-deer
831: Ground truth-automobile, Test result-airplane
834: Ground truth-bird, Test result-dog
835: Ground truth-dog, Test result-deer
837: Ground truth-automobile, Test result-truck
845: Ground truth-automobile, Test result-bird
846: Ground truth-cat, Test result-airplane
847: Ground truth-bird, Test result-frog
849: Ground truth-bird, Test result-frog
851: Ground truth-horse, Test result-cat
854: Ground truth-truck, Test result-automobile
863: Ground truth-cat, Test result-frog
864: Ground truth-cat, Test result-dog
874: Ground truth-bird, Test result-airplane
878: Ground truth-bird, Test result-dog
883: Ground truth-cat, Test result-airplane
886: Ground truth-airplane, Test result-deer
887: Ground truth-airplane, Test result-truck
889: Ground truth-airplane, Test result-automobile
893: Ground truth-horse, Test result-dog
894: Ground truth-frog, Test result-cat
904: Ground truth-dog, Test result-cat
905: Ground truth-ship, Test result-airplane
913: Ground truth-airplane, Test result-deer
917: Ground truth-cat, Test result-truck
925: Ground truth-dog, Test result-airplane
926: Ground truth-dog, Test result-cat
927: Ground truth-ship, Test result-frog
930: Ground truth-airplane, Test result-ship
934: Ground truth-bird, Test result-cat
939: Ground truth-truck, Test result-automobile
942: Ground truth-automobile, Test result-horse
949: Ground truth-cat, Test result-deer
954: Ground truth-automobile, Test result-airplane
957: Ground truth-airplane, Test result-ship
966: Ground truth-frog, Test result-cat
967: Ground truth-frog, Test result-cat
975: Ground truth-horse, Test result-bird
981: Ground truth-bird, Test result-frog
982: Ground truth-truck, Test result-automobile
983: Ground truth-airplane, Test result-bird
994: Ground truth-deer, Test result-horse
996: Ground truth-cat, Test result-dog
1008: Ground truth-ship, Test result-airplane
1009: Ground truth-truck, Test result-automobile
1025: Ground truth-cat, Test result-dog
1033: Ground truth-frog, Test result-bird
1035: Ground truth-frog, Test result-dog
1036: Ground truth-frog, Test result-deer
1040: Ground truth-bird, Test result-deer
1041: Ground truth-horse, Test result-dog
1044: Ground truth-bird, Test result-airplane
1048: Ground truth-automobile, Test result-ship
1050: Ground truth-deer, Test result-automobile
1051: Ground truth-cat, Test result-horse
1052: Ground truth-bird, Test result-frog
1054: Ground truth-cat, Test result-dog
1065: Ground truth-truck, Test result-cat
1066: Ground truth-cat, Test result-bird
1067: Ground truth-truck, Test result-automobile
1073: Ground truth-airplane, Test result-ship
1077: Ground truth-airplane, Test result-ship
1089: Ground truth-cat, Test result-dog
1091: Ground truth-airplane, Test result-ship
1101: Ground truth-horse, Test result-ship
1106: Ground truth-deer, Test result-cat
1114: Ground truth-ship, Test result-airplane
1119: Ground truth-deer, Test result-horse
1125: Ground truth-cat, Test result-dog
1127: Ground truth-bird, Test result-airplane
1131: Ground truth-horse, Test result-deer
1132: Ground truth-automobile, Test result-truck
1139: Ground truth-dog, Test result-truck
1147: Ground truth-bird, Test result-deer
1149: Ground truth-bird, Test result-frog
1150: Ground truth-horse, Test result-dog
1151: Ground truth-bird, Test result-horse
1158: Ground truth-horse, Test result-automobile
1164: Ground truth-cat, Test result-horse
1168: Ground truth-deer, Test result-cat
1173: Ground truth-bird, Test result-horse
1178: Ground truth-truck, Test result-automobile
1179: Ground truth-frog, Test result-bird
1186: Ground truth-automobile, Test result-ship
1190: Ground truth-airplane, Test result-bird
1194: Ground truth-dog, Test result-bird
1200: Ground truth-truck, Test result-airplane
1204: Ground truth-airplane, Test result-ship
1208: Ground truth-deer, Test result-ship
1209: Ground truth-cat, Test result-truck
1219: Ground truth-ship, Test result-airplane
1220: Ground truth-cat, Test result-dog
1221: Ground truth-truck, Test result-cat
1224: Ground truth-ship, Test result-airplane
1225: Ground truth-horse, Test result-deer
1226: Ground truth-frog, Test result-deer
1229: Ground truth-dog, Test result-cat
1240: Ground truth-dog, Test result-cat
1241: Ground truth-bird, Test result-frog
1242: Ground truth-airplane, Test result-ship
1243: Ground truth-ship, Test result-automobile
1246: Ground truth-frog, Test result-cat
1247: Ground truth-horse, Test result-cat
1248: Ground truth-cat, Test result-bird
1257: Ground truth-truck, Test result-ship
1259: Ground truth-automobile, Test result-frog
1262: Ground truth-truck, Test result-ship
1266: Ground truth-truck, Test result-automobile
1267: Ground truth-airplane, Test result-ship
1269: Ground truth-cat, Test result-airplane
1271: Ground truth-automobile, Test result-truck
1276: Ground truth-cat, Test result-truck
1277: Ground truth-dog, Test result-automobile
1295: Ground truth-ship, Test result-bird
1298: Ground truth-bird, Test result-airplane
1300: Ground truth-horse, Test result-airplane
1305: Ground truth-deer, Test result-ship
1307: Ground truth-automobile, Test result-deer
1309: Ground truth-dog, Test result-deer
1319: Ground truth-dog, Test result-cat
1324: Ground truth-airplane, Test result-bird
1326: Ground truth-bird, Test result-deer
1331: Ground truth-bird, Test result-cat
1333: Ground truth-automobile, Test result-ship
1334: Ground truth-horse, Test result-deer
1335: Ground truth-cat, Test result-bird
1337: Ground truth-deer, Test result-frog
1340: Ground truth-dog, Test result-cat
1349: Ground truth-bird, Test result-cat
1356: Ground truth-dog, Test result-cat
1357: Ground truth-bird, Test result-cat
1373: Ground truth-automobile, Test result-truck
1374: Ground truth-cat, Test result-deer
1378: Ground truth-cat, Test result-deer
1380: Ground truth-horse, Test result-deer
1381: Ground truth-deer, Test result-dog
1383: Ground truth-bird, Test result-airplane
1390: Ground truth-dog, Test result-deer
1392: Ground truth-horse, Test result-dog
1395: Ground truth-frog, Test result-dog
1396: Ground truth-cat, Test result-frog
1400: Ground truth-bird, Test result-airplane
1401: Ground truth-dog, Test result-cat
1404: Ground truth-frog, Test result-bird
1412: Ground truth-cat, Test result-deer
1417: Ground truth-cat, Test result-dog
1425: Ground truth-truck, Test result-automobile
1426: Ground truth-deer, Test result-cat
1432: Ground truth-deer, Test result-bird
1440: Ground truth-truck, Test result-automobile
1441: Ground truth-airplane, Test result-ship
1444: Ground truth-deer, Test result-frog
1446: Ground truth-cat, Test result-deer
1452: Ground truth-bird, Test result-deer
1454: Ground truth-dog, Test result-bird
1471: Ground truth-horse, Test result-bird
1472: Ground truth-ship, Test result-airplane
1475: Ground truth-cat, Test result-horse
1480: Ground truth-bird, Test result-horse
1485: Ground truth-deer, Test result-cat
1486: Ground truth-airplane, Test result-bird
1493: Ground truth-truck, Test result-ship
1496: Ground truth-bird, Test result-airplane
1499: Ground truth-dog, Test result-cat
1502: Ground truth-bird, Test result-frog
1504: Ground truth-deer, Test result-dog
1507: Ground truth-dog, Test result-horse
1508: Ground truth-bird, Test result-airplane
1514: Ground truth-frog, Test result-deer
1522: Ground truth-horse, Test result-bird
1528: Ground truth-dog, Test result-deer
1530: Ground truth-deer, Test result-dog
1531: Ground truth-cat, Test result-truck
1537: Ground truth-dog, Test result-horse
1538: Ground truth-deer, Test result-horse
1539: Ground truth-cat, Test result-truck
1542: Ground truth-deer, Test result-bird
1546: Ground truth-automobile, Test result-truck
1550: Ground truth-automobile, Test result-horse
1569: Ground truth-airplane, Test result-truck
1571: Ground truth-deer, Test result-horse
1573: Ground truth-frog, Test result-ship
1574: Ground truth-airplane, Test result-truck
1575: Ground truth-airplane, Test result-truck
1577: Ground truth-horse, Test result-cat
1578: Ground truth-dog, Test result-cat
1581: Ground truth-frog, Test result-dog
1582: Ground truth-bird, Test result-dog
1588: Ground truth-bird, Test result-airplane
1593: Ground truth-deer, Test result-dog
1596: Ground truth-cat, Test result-dog
1604: Ground truth-cat, Test result-bird
1606: Ground truth-cat, Test result-horse
1608: Ground truth-cat, Test result-truck
1611: Ground truth-bird, Test result-deer
1614: Ground truth-ship, Test result-truck
1619: Ground truth-horse, Test result-cat
1629: Ground truth-deer, Test result-horse
1633: Ground truth-ship, Test result-airplane
1634: Ground truth-automobile, Test result-ship
1637: Ground truth-dog, Test result-horse
1638: Ground truth-dog, Test result-cat
1641: Ground truth-horse, Test result-deer
1642: Ground truth-frog, Test result-deer
1643: Ground truth-dog, Test result-frog
1645: Ground truth-bird, Test result-frog
1650: Ground truth-dog, Test result-bird
1663: Ground truth-cat, Test result-truck
1669: Ground truth-truck, Test result-automobile
1676: Ground truth-dog, Test result-horse
1682: Ground truth-dog, Test result-frog
1684: Ground truth-ship, Test result-airplane
1685: Ground truth-automobile, Test result-ship
1686: Ground truth-ship, Test result-horse
1688: Ground truth-ship, Test result-airplane
1689: Ground truth-frog, Test result-truck
1691: Ground truth-bird, Test result-deer
1694: Ground truth-deer, Test result-ship
1702: Ground truth-dog, Test result-bird
1709: Ground truth-horse, Test result-automobile
1711: Ground truth-deer, Test result-frog
1714: Ground truth-ship, Test result-automobile
1716: Ground truth-cat, Test result-dog
1719: Ground truth-airplane, Test result-ship
1722: Ground truth-ship, Test result-airplane
1724: Ground truth-bird, Test result-cat
1725: Ground truth-deer, Test result-frog
1732: Ground truth-dog, Test result-cat
1733: Ground truth-truck, Test result-automobile
1742: Ground truth-deer, Test result-cat
1747: Ground truth-bird, Test result-deer
1756: Ground truth-horse, Test result-dog
1757: Ground truth-bird, Test result-horse
1760: Ground truth-dog, Test result-cat
1773: Ground truth-ship, Test result-truck
1780: Ground truth-cat, Test result-dog
1788: Ground truth-cat, Test result-dog
1789: Ground truth-cat, Test result-frog
1791: Ground truth-horse, Test result-dog
1792: Ground truth-deer, Test result-frog
1794: Ground truth-dog, Test result-horse
1804: Ground truth-bird, Test result-cat
1805: Ground truth-dog, Test result-deer
1808: Ground truth-dog, Test result-deer
1813: Ground truth-dog, Test result-horse
1814: Ground truth-cat, Test result-airplane
1818: Ground truth-frog, Test result-bird
1823: Ground truth-horse, Test result-cat
1824: Ground truth-airplane, Test result-cat
1830: Ground truth-automobile, Test result-bird
1831: Ground truth-cat, Test result-bird
1838: Ground truth-truck, Test result-automobile
1839: Ground truth-frog, Test result-ship
1841: Ground truth-ship, Test result-truck
1842: Ground truth-truck, Test result-automobile
1851: Ground truth-automobile, Test result-cat
1863: Ground truth-dog, Test result-cat
1864: Ground truth-dog, Test result-truck
1868: Ground truth-frog, Test result-deer
1869: Ground truth-bird, Test result-horse
1884: Ground truth-cat, Test result-frog
1885: Ground truth-horse, Test result-dog
1887: Ground truth-ship, Test result-cat
1891: Ground truth-frog, Test result-deer
1899: Ground truth-airplane, Test result-cat
1905: Ground truth-automobile, Test result-truck
1906: Ground truth-cat, Test result-frog
1907: Ground truth-truck, Test result-cat
1912: Ground truth-deer, Test result-frog
1917: Ground truth-truck, Test result-bird
1920: Ground truth-deer, Test result-horse
1922: Ground truth-bird, Test result-airplane
1925: Ground truth-truck, Test result-frog
1928: Ground truth-truck, Test result-automobile
1930: Ground truth-bird, Test result-deer
1934: Ground truth-cat, Test result-dog
1935: Ground truth-horse, Test result-bird
1936: Ground truth-frog, Test result-deer
1937: Ground truth-cat, Test result-horse
1938: Ground truth-automobile, Test result-horse
1940: Ground truth-frog, Test result-horse
1941: Ground truth-dog, Test result-cat
1942: Ground truth-horse, Test result-bird
1946: Ground truth-deer, Test result-horse
1955: Ground truth-bird, Test result-airplane
1958: Ground truth-cat, Test result-bird
1964: Ground truth-bird, Test result-airplane
1970: Ground truth-automobile, Test result-truck
1973: Ground truth-frog, Test result-bird
1984: Ground truth-ship, Test result-bird
1987: Ground truth-deer, Test result-bird
1990: Ground truth-frog, Test result-deer
1991: Ground truth-deer, Test result-horse
1994: Ground truth-cat, Test result-bird
1995: Ground truth-ship, Test result-automobile
1997: Ground truth-cat, Test result-dog
1999: Ground truth-ship, Test result-bird
2003: Ground truth-deer, Test result-bird
2004: Ground truth-dog, Test result-cat
2011: Ground truth-horse, Test result-automobile
2014: Ground truth-frog, Test result-airplane
2017: Ground truth-frog, Test result-deer
2018: Ground truth-dog, Test result-cat
2019: Ground truth-cat, Test result-bird
2020: Ground truth-truck, Test result-frog
2024: Ground truth-dog, Test result-cat
2027: Ground truth-dog, Test result-cat
2030: Ground truth-cat, Test result-dog
2033: Ground truth-deer, Test result-bird
2035: Ground truth-cat, Test result-deer
2037: Ground truth-dog, Test result-cat
2038: Ground truth-dog, Test result-cat
2040: Ground truth-ship, Test result-automobile
2047: Ground truth-cat, Test result-dog
2050: Ground truth-cat, Test result-deer
2054: Ground truth-frog, Test result-bird
2055: Ground truth-cat, Test result-dog
2059: Ground truth-airplane, Test result-ship
2060: Ground truth-truck, Test result-ship
2061: Ground truth-dog, Test result-cat
2062: Ground truth-dog, Test result-deer
2066: Ground truth-bird, Test result-deer
2067: Ground truth-bird, Test result-deer
2068: Ground truth-horse, Test result-deer
2079: Ground truth-bird, Test result-frog
2081: Ground truth-automobile, Test result-truck
2082: Ground truth-cat, Test result-frog
2084: Ground truth-bird, Test result-dog
2088: Ground truth-airplane, Test result-deer
2096: Ground truth-airplane, Test result-deer
2097: Ground truth-bird, Test result-deer
2099: Ground truth-airplane, Test result-ship
2101: Ground truth-bird, Test result-deer
2107: Ground truth-dog, Test result-cat
2109: Ground truth-deer, Test result-dog
2112: Ground truth-truck, Test result-automobile
2115: Ground truth-bird, Test result-horse
2118: Ground truth-horse, Test result-airplane
2126: Ground truth-automobile, Test result-airplane
2128: Ground truth-bird, Test result-horse
2129: Ground truth-deer, Test result-frog
2130: Ground truth-truck, Test result-airplane
2131: Ground truth-airplane, Test result-bird
2137: Ground truth-airplane, Test result-truck
2152: Ground truth-dog, Test result-ship
2156: Ground truth-truck, Test result-ship
2160: Ground truth-ship, Test result-truck
2163: Ground truth-dog, Test result-ship
2166: Ground truth-bird, Test result-airplane
2172: Ground truth-bird, Test result-cat
2173: Ground truth-dog, Test result-deer
2176: Ground truth-cat, Test result-dog
2187: Ground truth-truck, Test result-automobile
2188: Ground truth-dog, Test result-cat
2191: Ground truth-truck, Test result-automobile
2193: Ground truth-airplane, Test result-deer
2194: Ground truth-bird, Test result-airplane
2199: Ground truth-ship, Test result-airplane
2201: Ground truth-airplane, Test result-bird
2214: Ground truth-deer, Test result-frog
2217: Ground truth-bird, Test result-dog
2227: Ground truth-bird, Test result-frog
2233: Ground truth-airplane, Test result-cat
2234: Ground truth-cat, Test result-deer
2235: Ground truth-horse, Test result-deer
2237: Ground truth-dog, Test result-bird
2243: Ground truth-bird, Test result-cat
2247: Ground truth-truck, Test result-frog
2248: Ground truth-dog, Test result-bird
2252: Ground truth-frog, Test result-dog
2254: Ground truth-cat, Test result-dog
2256: Ground truth-automobile, Test result-ship
2263: Ground truth-bird, Test result-deer
2268: Ground truth-frog, Test result-cat
2271: Ground truth-bird, Test result-horse
2274: Ground truth-dog, Test result-cat
2278: Ground truth-dog, Test result-cat
2286: Ground truth-cat, Test result-frog
2287: Ground truth-cat, Test result-horse
2289: Ground truth-dog, Test result-deer
2294: Ground truth-ship, Test result-bird
2300: Ground truth-frog, Test result-cat
2311: Ground truth-frog, Test result-horse
2314: Ground truth-frog, Test result-bird
2317: Ground truth-dog, Test result-bird
2321: Ground truth-dog, Test result-bird
2322: Ground truth-bird, Test result-horse
2324: Ground truth-ship, Test result-automobile
2325: Ground truth-airplane, Test result-bird
2326: Ground truth-horse, Test result-deer
2332: Ground truth-bird, Test result-deer
2351: Ground truth-cat, Test result-dog
2352: Ground truth-automobile, Test result-truck
2353: Ground truth-bird, Test result-cat
2359: Ground truth-horse, Test result-dog
2360: Ground truth-bird, Test result-horse
2362: Ground truth-bird, Test result-airplane
2363: Ground truth-cat, Test result-bird
2364: Ground truth-bird, Test result-frog
2367: Ground truth-truck, Test result-ship
2373: Ground truth-dog, Test result-horse
2377: Ground truth-horse, Test result-deer
2380: Ground truth-airplane, Test result-ship
2384: Ground truth-bird, Test result-deer
2385: Ground truth-dog, Test result-horse
2386: Ground truth-deer, Test result-horse
2391: Ground truth-automobile, Test result-horse
2397: Ground truth-automobile, Test result-horse
2398: Ground truth-dog, Test result-bird
2402: Ground truth-cat, Test result-ship
2404: Ground truth-deer, Test result-bird
2406: Ground truth-cat, Test result-frog
2410: Ground truth-deer, Test result-bird
2414: Ground truth-deer, Test result-frog
2415: Ground truth-dog, Test result-deer
2417: Ground truth-frog, Test result-truck
2420: Ground truth-deer, Test result-horse
2421: Ground truth-ship, Test result-automobile
2423: Ground truth-cat, Test result-dog
2424: Ground truth-bird, Test result-frog
2428: Ground truth-dog, Test result-cat
2435: Ground truth-airplane, Test result-ship
2443: Ground truth-deer, Test result-cat
2450: Ground truth-deer, Test result-dog
2454: Ground truth-cat, Test result-deer
2455: Ground truth-automobile, Test result-ship
2467: Ground truth-bird, Test result-airplane
2474: Ground truth-airplane, Test result-ship
2482: Ground truth-horse, Test result-dog
2483: Ground truth-truck, Test result-automobile
2487: Ground truth-horse, Test result-deer
2490: Ground truth-cat, Test result-bird
2496: Ground truth-truck, Test result-ship
2498: Ground truth-truck, Test result-ship
2499: Ground truth-cat, Test result-dog
2500: Ground truth-frog, Test result-bird
2501: Ground truth-deer, Test result-frog
2507: Ground truth-cat, Test result-airplane
2510: Ground truth-bird, Test result-frog
2512: Ground truth-ship, Test result-automobile
2515: Ground truth-truck, Test result-cat
2516: Ground truth-bird, Test result-cat
2517: Ground truth-bird, Test result-dog
2522: Ground truth-truck, Test result-dog
2525: Ground truth-cat, Test result-dog
2526: Ground truth-dog, Test result-cat
2527: Ground truth-cat, Test result-bird
2533: Ground truth-airplane, Test result-automobile
2534: Ground truth-ship, Test result-cat
2536: Ground truth-airplane, Test result-frog
2540: Ground truth-ship, Test result-truck
2543: Ground truth-bird, Test result-ship
2544: Ground truth-cat, Test result-dog
2563: Ground truth-deer, Test result-cat
2564: Ground truth-bird, Test result-airplane
2568: Ground truth-deer, Test result-cat
2569: Ground truth-truck, Test result-deer
2571: Ground truth-airplane, Test result-bird
2576: Ground truth-dog, Test result-deer
2586: Ground truth-cat, Test result-dog
2587: Ground truth-horse, Test result-bird
2588: Ground truth-airplane, Test result-truck
2591: Ground truth-dog, Test result-truck
2593: Ground truth-bird, Test result-dog
2597: Ground truth-truck, Test result-airplane
2598: Ground truth-bird, Test result-dog
2606: Ground truth-deer, Test result-horse
2607: Ground truth-cat, Test result-dog
2610: Ground truth-dog, Test result-cat
2613: Ground truth-cat, Test result-horse
2619: Ground truth-dog, Test result-deer
2625: Ground truth-ship, Test result-cat
2630: Ground truth-bird, Test result-frog
2633: Ground truth-cat, Test result-dog
2635: Ground truth-automobile, Test result-dog
2636: Ground truth-frog, Test result-deer
2643: Ground truth-horse, Test result-frog
2644: Ground truth-cat, Test result-airplane
2651: Ground truth-dog, Test result-cat
2652: Ground truth-dog, Test result-ship
2661: Ground truth-cat, Test result-dog
2662: Ground truth-cat, Test result-dog
2669: Ground truth-airplane, Test result-bird
2674: Ground truth-bird, Test result-cat
2676: Ground truth-bird, Test result-deer
2682: Ground truth-airplane, Test result-bird
2683: Ground truth-horse, Test result-deer
2689: Ground truth-dog, Test result-cat
2690: Ground truth-dog, Test result-cat
2691: Ground truth-bird, Test result-automobile
2696: Ground truth-bird, Test result-frog
2701: Ground truth-truck, Test result-airplane
2702: Ground truth-automobile, Test result-ship
2703: Ground truth-frog, Test result-deer
2704: Ground truth-truck, Test result-airplane
2705: Ground truth-airplane, Test result-automobile
2706: Ground truth-ship, Test result-airplane
2707: Ground truth-cat, Test result-dog
2710: Ground truth-frog, Test result-dog
2715: Ground truth-truck, Test result-airplane
2717: Ground truth-dog, Test result-bird
2719: Ground truth-dog, Test result-bird
2720: Ground truth-deer, Test result-cat
2723: Ground truth-dog, Test result-deer
2724: Ground truth-bird, Test result-ship
2730: Ground truth-dog, Test result-cat
2734: Ground truth-cat, Test result-horse
2738: Ground truth-ship, Test result-airplane
2748: Ground truth-cat, Test result-ship
2756: Ground truth-dog, Test result-horse
2763: Ground truth-deer, Test result-bird
2768: Ground truth-dog, Test result-cat
2770: Ground truth-bird, Test result-truck
2775: Ground truth-bird, Test result-dog
2780: Ground truth-cat, Test result-bird
2783: Ground truth-airplane, Test result-bird
2786: Ground truth-deer, Test result-bird
2789: Ground truth-horse, Test result-frog
2798: Ground truth-frog, Test result-dog
2799: Ground truth-cat, Test result-dog
2805: Ground truth-cat, Test result-deer
2809: Ground truth-bird, Test result-cat
2810: Ground truth-deer, Test result-cat
2815: Ground truth-automobile, Test result-truck
2822: Ground truth-airplane, Test result-horse
2823: Ground truth-cat, Test result-dog
2824: Ground truth-cat, Test result-deer
2826: Ground truth-bird, Test result-frog
2829: Ground truth-bird, Test result-deer
2836: Ground truth-deer, Test result-cat
2841: Ground truth-cat, Test result-bird
2844: Ground truth-automobile, Test result-ship
2845: Ground truth-deer, Test result-cat
2848: Ground truth-ship, Test result-airplane
2854: Ground truth-truck, Test result-automobile
2855: Ground truth-truck, Test result-horse
2856: Ground truth-cat, Test result-bird
2859: Ground truth-deer, Test result-horse
2860: Ground truth-automobile, Test result-truck
2869: Ground truth-truck, Test result-horse
2875: Ground truth-ship, Test result-truck
2879: Ground truth-cat, Test result-dog
2889: Ground truth-horse, Test result-cat
2890: Ground truth-horse, Test result-dog
