25: Ground truth-dog, Test result-deer
1719: Ground truth-airplane, Test result-ship
1722: Ground truth-ship, Test result-truck
1724: Ground truth-bird, Test result-cat
1732: Ground truth-dog, Test result-cat
1737: Ground truth-dog, Test result-frog
1742: Ground truth-deer, Test result-dog
1747: Ground truth-bird, Test result-deer
1757: Ground truth-bird, Test result-cat
1760: Ground truth-dog, Test result-cat
1766: Ground truth-deer, Test result-dog
1767: Ground truth-frog, Test result-cat
1769: Ground truth-bird, Test result-airplane
1770: Ground truth-automobile, Test result-airplane
1772: Ground truth-bird, Test result-frog
1773: Ground truth-ship, Test result-bird
1780: Ground truth-cat, Test result-dog
1789: Ground truth-cat, Test result-frog
1791: Ground truth-horse, Test result-deer
1794: Ground truth-dog, Test result-horse
1804: Ground truth-bird, Test result-dog
1805: Ground truth-dog, Test result-deer
1813: Ground truth-dog, Test result-horse
1818: Ground truth-frog, Test result-bird
1823: Ground truth-horse, Test result-bird
1824: Ground truth-airplane, Test result-deer
1829: Ground truth-horse, Test result-bird
1830: Ground truth-automobile, Test result-ship
1831: Ground truth-cat, Test result-bird
1836: Ground truth-airplane, Test result-cat
1841: Ground truth-ship, Test result-truck
1842: Ground truth-truck, Test result-automobile
1851: Ground truth-automobile, Test result-cat
1853: Ground truth-bird, Test result-horse
1863: Ground truth-dog, Test result-cat
1864: Ground truth-dog, Test result-automobile
1868: Ground truth-frog, Test result-deer
1869: Ground truth-bird, Test result-horse
1884: Ground truth-cat, Test result-frog
1885: Ground truth-horse, Test result-frog
1887: Ground truth-ship, Test result-cat
1899: Ground truth-airplane, Test result-bird
1906: Ground truth-cat, Test result-bird
1912: Ground truth-deer, Test result-frog
1925: Ground truth-truck, Test result-frog
1930: Ground truth-bird, Test result-deer
1934: Ground truth-cat, Test result-dog
1935: Ground truth-horse, Test result-airplane
1936: Ground truth-frog, Test result-deer
1938: Ground truth-automobile, Test result-truck
1939: Ground truth-ship, Test result-airplane
1940: Ground truth-frog, Test result-cat
1941: Ground truth-dog, Test result-bird
1942: Ground truth-horse, Test result-bird
1946: Ground truth-deer, Test result-horse
1955: Ground truth-bird, Test result-deer
1958: Ground truth-cat, Test result-frog
1970: Ground truth-automobile, Test result-truck
1978: Ground truth-dog, Test result-cat
1982: Ground truth-cat, Test result-dog
1984: Ground truth-ship, Test result-bird
1991: Ground truth-deer, Test result-horse
1995: Ground truth-ship, Test result-truck
1997: Ground truth-cat, Test result-dog
1999: Ground truth-ship, Test result-bird
2003: Ground truth-deer, Test result-bird
2006: Ground truth-dog, Test result-cat
2011: Ground truth-horse, Test result-cat
2012: Ground truth-bird, Test result-cat
2014: Ground truth-frog, Test result-truck
2018: Ground truth-dog, Test result-cat
2019: Ground truth-cat, Test result-bird
2024: Ground truth-dog, Test result-cat
2027: Ground truth-dog, Test result-cat
2030: Ground truth-cat, Test result-dog
2033: Ground truth-deer, Test result-bird
2034: Ground truth-bird, Test result-deer
2035: Ground truth-cat, Test result-deer
2037: Ground truth-dog, Test result-cat
2038: Ground truth-dog, Test result-cat
2040: Ground truth-ship, Test result-automobile
2047: Ground truth-cat, Test result-dog
2050: Ground truth-cat, Test result-deer
2055: Ground truth-cat, Test result-dog
2059: Ground truth-airplane, Test result-ship
2060: Ground truth-truck, Test result-ship
2061: Ground truth-dog, Test result-cat
2062: Ground truth-dog, Test result-deer
2066: Ground truth-bird, Test result-frog
2067: Ground truth-bird, Test result-deer
2068: Ground truth-horse, Test result-deer
2079: Ground truth-bird, Test result-horse
2082: Ground truth-cat, Test result-frog
2084: Ground truth-bird, Test result-dog
2096: Ground truth-airplane, Test result-deer
2097: Ground truth-bird, Test result-horse
2107: Ground truth-dog, Test result-cat
2109: Ground truth-deer, Test result-dog
2112: Ground truth-truck, Test result-automobile
2121: Ground truth-deer, Test result-ship
2122: Ground truth-frog, Test result-truck
2126: Ground truth-automobile, Test result-airplane
2127: Ground truth-truck, Test result-automobile
2128: Ground truth-bird, Test result-deer
2129: Ground truth-deer, Test result-frog
2130: Ground truth-truck, Test result-airplane
2135: Ground truth-deer, Test result-cat
2137: Ground truth-airplane, Test result-truck
2142: Ground truth-horse, Test result-dog
2145: Ground truth-cat, Test result-dog
2146: Ground truth-horse, Test result-deer
2151: Ground truth-truck, Test result-automobile
2152: Ground truth-dog, Test result-ship
2156: Ground truth-truck, Test result-ship
2160: Ground truth-ship, Test result-truck
2162: Ground truth-dog, Test result-horse
2163: Ground truth-dog, Test result-ship
2166: Ground truth-bird, Test result-airplane
2172: Ground truth-bird, Test result-cat
2173: Ground truth-dog, Test result-airplane
2176: Ground truth-cat, Test result-dog
2187: Ground truth-truck, Test result-ship
2188: Ground truth-dog, Test result-cat
2191: Ground truth-truck, Test result-automobile
2192: Ground truth-deer, Test result-horse
2193: Ground truth-airplane, Test result-frog
2194: Ground truth-bird, Test result-airplane
2196: Ground truth-deer, Test result-dog
2200: Ground truth-bird, Test result-frog
2201: Ground truth-airplane, Test result-bird
2208: Ground truth-cat, Test result-dog
2214: Ground truth-deer, Test result-frog
2223: Ground truth-frog, Test result-deer
2227: Ground truth-bird, Test result-frog
2233: Ground truth-airplane, Test result-cat
2234: Ground truth-cat, Test result-dog
2247: Ground truth-truck, Test result-automobile
2251: Ground truth-horse, Test result-deer
2252: Ground truth-frog, Test result-dog
2254: Ground truth-cat, Test result-dog
2256: Ground truth-automobile, Test result-ship
2263: Ground truth-bird, Test result-deer
2268: Ground truth-frog, Test result-cat
2271: Ground truth-bird, Test result-deer
2274: Ground truth-dog, Test result-bird
2286: Ground truth-cat, Test result-dog
2289: Ground truth-dog, Test result-bird
2294: Ground truth-ship, Test result-automobile
2295: Ground truth-automobile, Test result-truck
2300: Ground truth-frog, Test result-cat
2301: Ground truth-cat, Test result-deer
2310: Ground truth-frog, Test result-cat
2311: Ground truth-frog, Test result-horse
2314: Ground truth-frog, Test result-bird
2321: Ground truth-dog, Test result-horse
2322: Ground truth-bird, Test result-cat
2323: Ground truth-airplane, Test result-bird
2326: Ground truth-horse, Test result-dog
2328: Ground truth-automobile, Test result-airplane
2332: Ground truth-bird, Test result-horse
2343: Ground truth-dog, Test result-frog
2349: Ground truth-deer, Test result-airplane
2352: Ground truth-automobile, Test result-truck
2353: Ground truth-bird, Test result-cat
2359: Ground truth-horse, Test result-dog
2362: Ground truth-bird, Test result-airplane
2363: Ground truth-cat, Test result-bird
2364: Ground truth-bird, Test result-frog
2373: Ground truth-dog, Test result-horse
2377: Ground truth-horse, Test result-automobile
2378: Ground truth-frog, Test result-deer
2380: Ground truth-airplane, Test result-ship
2384: Ground truth-bird, Test result-deer
2391: Ground truth-automobile, Test result-horse
2398: Ground truth-dog, Test result-bird
2405: Ground truth-airplane, Test result-horse
2406: Ground truth-cat, Test result-frog
2415: Ground truth-dog, Test result-deer
2416: Ground truth-frog, Test result-cat
2421: Ground truth-ship, Test result-frog
2423: Ground truth-cat, Test result-horse
2424: Ground truth-bird, Test result-frog
2428: Ground truth-dog, Test result-cat
2435: Ground truth-airplane, Test result-truck
2443: Ground truth-deer, Test result-frog
2445: Ground truth-cat, Test result-frog
2450: Ground truth-deer, Test result-dog
2454: Ground truth-cat, Test result-deer
2456: Ground truth-frog, Test result-bird
2459: Ground truth-ship, Test result-airplane
2469: Ground truth-airplane, Test result-bird
2474: Ground truth-airplane, Test result-ship
2482: Ground truth-horse, Test result-deer
2483: Ground truth-truck, Test result-automobile
2484: Ground truth-bird, Test result-horse
2487: Ground truth-horse, Test result-bird
2495: Ground truth-dog, Test result-deer
2496: Ground truth-truck, Test result-ship
2498: Ground truth-truck, Test result-airplane
2499: Ground truth-cat, Test result-frog
2501: Ground truth-deer, Test result-frog
2505: Ground truth-automobile, Test result-ship
2507: Ground truth-cat, Test result-airplane
2509: Ground truth-frog, Test result-deer
2510: Ground truth-bird, Test result-frog
2512: Ground truth-ship, Test result-truck
2515: Ground truth-truck, Test result-cat
2516: Ground truth-bird, Test result-cat
2522: Ground truth-truck, Test result-dog
2526: Ground truth-dog, Test result-automobile
2527: Ground truth-cat, Test result-bird
2530: Ground truth-cat, Test result-dog
2533: Ground truth-airplane, Test result-automobile
2534: Ground truth-ship, Test result-cat
2536: Ground truth-airplane, Test result-frog
2539: Ground truth-dog, Test result-deer
2543: Ground truth-bird, Test result-ship
2544: Ground truth-cat, Test result-deer
2563: Ground truth-deer, Test result-cat
2564: Ground truth-bird, Test result-airplane
2568: Ground truth-deer, Test result-cat
2569: Ground truth-truck, Test result-deer
2571: Ground truth-airplane, Test result-bird
2576: Ground truth-dog, Test result-deer
2582: Ground truth-deer, Test result-frog
2586: Ground truth-cat, Test result-dog
2587: Ground truth-horse, Test result-bird
2588: Ground truth-airplane, Test result-truck
2591: Ground truth-dog, Test result-cat
2593: Ground truth-bird, Test result-deer
2597: Ground truth-truck, Test result-airplane
2598: Ground truth-bird, Test result-horse
2607: Ground truth-cat, Test result-dog
2610: Ground truth-dog, Test result-cat
2612: Ground truth-deer, Test result-cat
2613: Ground truth-cat, Test result-horse
2620: Ground truth-horse, Test result-cat
2630: Ground truth-bird, Test result-frog
2635: Ground truth-automobile, Test result-truck
2636: Ground truth-frog, Test result-deer
2651: Ground truth-dog, Test result-cat
2652: Ground truth-dog, Test result-ship
2674: Ground truth-bird, Test result-deer
2676: Ground truth-bird, Test result-deer
2677: Ground truth-deer, Test result-frog
2679: Ground truth-airplane, Test result-deer
2680: Ground truth-airplane, Test result-frog
2682: Ground truth-airplane, Test result-bird
2683: Ground truth-horse, Test result-deer
2686: Ground truth-bird, Test result-cat
2689: Ground truth-dog, Test result-cat
2691: Ground truth-bird, Test result-automobile
2702: Ground truth-automobile, Test result-ship
2704: Ground truth-truck, Test result-airplane
2705: Ground truth-airplane, Test result-truck
2706: Ground truth-ship, Test result-airplane
2707: Ground truth-cat, Test result-dog
2720: Ground truth-deer, Test result-dog
2723: Ground truth-dog, Test result-deer
2730: Ground truth-dog, Test result-cat
2734: Ground truth-cat, Test result-horse
2737: Ground truth-ship, Test result-automobile
2753: Ground truth-cat, Test result-dog
2756: Ground truth-dog, Test result-horse
2763: Ground truth-deer, Test result-bird
2768: Ground truth-dog, Test result-cat
2769: Ground truth-dog, Test result-bird
2770: Ground truth-bird, Test result-truck
2771: Ground truth-horse, Test result-cat
2780: Ground truth-cat, Test result-bird
2789: Ground truth-horse, Test result-cat
2798: Ground truth-frog, Test result-deer
2799: Ground truth-cat, Test result-dog
2805: Ground truth-cat, Test result-bird
2809: Ground truth-bird, Test result-cat
2811: Ground truth-truck, Test result-horse
2819: Ground truth-dog, Test result-cat
2822: Ground truth-airplane, Test result-deer
2823: Ground truth-cat, Test result-dog
2826: Ground truth-bird, Test result-frog
2830: Ground truth-cat, Test result-frog
2836: Ground truth-deer, Test result-dog
2844: Ground truth-automobile, Test result-cat
2845: Ground truth-deer, Test result-cat
2848: Ground truth-ship, Test result-airplane
2853: Ground truth-bird, Test result-deer
2855: Ground truth-truck, Test result-horse
2860: Ground truth-automobile, Test result-truck
2868: Ground truth-horse, Test result-cat
2875: Ground truth-ship, Test result-truck
2876: Ground truth-automobile, Test result-truck
2879: Ground truth-cat, Test result-horse
2889: Ground truth-horse, Test result-deer
2890: Ground truth-horse, Test result-dog
2896: Ground truth-horse, Test result-dog
2901: Ground truth-cat, Test result-bird
2906: Ground truth-deer, Test result-horse
2911: Ground truth-ship, Test result-bird
2913: Ground truth-bird, Test result-cat
2924: Ground truth-cat, Test result-horse
2931: Ground truth-horse, Test result-cat
2941: Ground truth-cat, Test result-airplane
2949: Ground truth-dog, Test result-cat
2955: Ground truth-truck, Test result-automobile
2959: Ground truth-airplane, Test result-ship
2960: Ground truth-horse, Test result-deer
2961: Ground truth-truck, Test result-airplane
2976: Ground truth-truck, Test result-deer
2978: Ground truth-bird, Test result-frog
2979: Ground truth-bird, Test result-horse
2986: Ground truth-bird, Test result-airplane
2987: Ground truth-automobile, Test result-ship
2988: Ground truth-automobile, Test result-deer
2989: Ground truth-dog, Test result-cat
2990: Ground truth-dog, Test result-frog
2993: Ground truth-deer, Test result-ship
2998: Ground truth-bird, Test result-dog
3003: Ground truth-horse, Test result-deer
3004: Ground truth-bird, Test result-truck
3006: Ground truth-airplane, Test result-bird
3015: Ground truth-frog, Test result-dog
3024: Ground truth-cat, Test result-dog
3026: Ground truth-bird, Test result-frog
3027: Ground truth-dog, Test result-horse
3030: Ground truth-automobile, Test result-truck
